DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Hungary,2020,156.907,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Hungary,2021,122.482,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Hungary,2022,124.477,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Hungary,2023,82.055,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Ireland,2020,249.555,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Ireland,2021,245.060,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Ireland,2022,170.668,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Ireland,2023,125.511,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Iceland,2020,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Iceland,2021,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Italy,2020,409.362,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Italy,2021,302.273,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Italy,2022,306.200,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Italy,2023,296.973,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Lithuania,2020,133.271,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Lithuania,2021,158.672,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Lithuania,2022,156.034,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Lithuania,2023,97.900,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Luxembourg,2020,38.442,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Luxembourg,2021,39.427,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Luxembourg,2022,41.073,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Luxembourg,2023,22.779,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Latvia,2020,21.583,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Latvia,2021,15.403,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Latvia,2022,10.502,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Latvia,2023,10.855,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Moldova,2020,77.408,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Moldova,2021,91.228,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Moldova,2022,61.948,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Montenegro,2020,6.392,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Montenegro,2021,8.717,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Montenegro,2022,5.501,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,North Macedonia,2020,70.500,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,North Macedonia,2021,92.082,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,North Macedonia,2022,33.952,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Malta,2020,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Malta,2021,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Malta,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Malta,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Netherlands,2020,171.439,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Netherlands,2021,142.030,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Netherlands,2022,118.389,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Netherlands,2023,102.931,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Norway,2020,520.305,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Norway,2021,555.063,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Norway,2022,496.191,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Poland,2020,8955.367,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Poland,2021,8687.509,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Poland,2022,7265.676,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Poland,2023,6760.982,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Portugal,2020,9.695,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Portugal,2021,9.980,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Portugal,2022,6.820,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Portugal,2023,4.988,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Romania,2020,602.766,
